* [[fr:Pérégrain]] {Found more than one link for encyclopaediae:zh}
* [[fr:Ohmassacre]] {Found more than one link for encyclopaediae:zh}
* [[fr:Némélios]] {Found more than one link for encyclopaediae:zh}
* [[fr:Méga-Rayquaza]] {Found more than one link for encyclopaediae:fr}
* [[fr:Météno]] {Found more than one link for encyclopaediae:zh}
* [[fr:Miradar]] {Found more than one link for encyclopaediae:zh}
* [[fr:Meloetta]] {Found more than one link for encyclopaediae:zh}
* [[fr:Marisson]] {Found more than one link for encyclopaediae:zh}
* [[fr:Manternel]] {Found more than one link for encyclopaediae:zh}
* [[fr:Manglouton]] {Found more than one link for encyclopaediae:zh}
* [[fr:Mamanbo]] {Found more than one link for encyclopaediae:zh}
* [[fr:Majaspic]] {Found more than one link for encyclopaediae:zh}
* [[fr:Lianaja]] {Found more than one link for encyclopaediae:zh}
* [[fr:Lépidonille]] {Found more than one link for encyclopaediae:zh}
* [[fr:Larveyette]] {Found more than one link for encyclopaediae:zh}
* [[fr:Lampéroie]] {Found more than one link for encyclopaediae:zh}
* [[fr:Lakmécygne]] {Found more than one link for encyclopaediae:zh}
* [[fr:Hoopa]] {Found more than one link for encyclopaediae:zh}
* [[fr:Hélionceau]] {Found more than one link for encyclopaediae:zh}
* [[fr:Haydaim]] {Found more than one link for encyclopaediae:zh}
* [[fr:Gruikui]] {Found more than one link for encyclopaediae:zh}
* [[fr:Grotichon]] {Found more than one link for encyclopaediae:zh}
* [[fr:Grenousse]] {Found more than one link for encyclopaediae:zh}
* [[fr:Goupelin]] {Found more than one link for encyclopaediae:zh}
* [[fr:Flotoutan]] {Found more than one link for encyclopaediae:zh}
* [[fr:Flotajou]] {Found more than one link for encyclopaediae:zh}
* [[fr:Florges]] {Found more than one link for encyclopaediae:zh}
* [[fr:Floette]] {Found more than one link for encyclopaediae:zh}
* [[fr:Flamoutan]] {Found more than one link for encyclopaediae:zh}
* [[fr:Flamajou]] {Found more than one link for encyclopaediae:zh}
* [[fr:Flabébé]] {Found more than one link for encyclopaediae:zh}
* [[fr:Feunnec]] {Found more than one link for encyclopaediae:zh}
* [[fr:Feuiloutan]] {Found more than one link for encyclopaediae:zh}
* [[fr:Feuillajou]] {Found more than one link for encyclopaediae:zh}
* [[fr:Dodoala]] {Found more than one link for encyclopaediae:zh}
* [[fr:Denticrisse]] {Found more than one link for encyclopaediae:zh}
* [[fr:Croâporal]] {Found more than one link for encyclopaediae:zh}
* [[fr:Crabominable]] {Found more than one link for encyclopaediae:zh}
* [[fr:Crabagarre]] {Found more than one link for encyclopaediae:zh}
* [[fr:Couverdure]] {Found more than one link for encyclopaediae:zh}
* [[fr:Couaneton]] {Found more than one link for encyclopaediae:zh}
* [[fr:Couafarel]] {Found more than one link for encyclopaediae:zh}
* [[fr:Clamiral]] {Found more than one link for encyclopaediae:zh}
* [[fr:Chevroum]] {Found more than one link for encyclopaediae:zh}
* [[fr:Cabriolaine]] {Found more than one link for encyclopaediae:zh}
* [[fr:Boguérisse]] {Found more than one link for encyclopaediae:zh}
* [[fr:Blindépique]] {Found more than one link for encyclopaediae:zh}
* [[fr:Bazoucan]] {Found more than one link for encyclopaediae:zh}
* [[fr:Argouste]] {Found more than one link for encyclopaediae:en}
* [[fr:Anchwatt]] {Found more than one link for encyclopaediae:en}
* [[fr:Amphinobi]] {Found more than one link for encyclopaediae:en}
* [[ja:心なき世界のために]] {Found more than one link for encyclopaediae:ja}
* [[ja:悪の組織イベント]] {Found more than one link for encyclopaediae:ja}
* [[ja:はるのあらし]] {Found more than one link for encyclopaediae:en}
* [[ja:マグマだんアジト (ルビー)]] {Found more than one link for encyclopaediae:es}
* [[ja:アクアだんアジト]] {Found more than one link for encyclopaediae:es}
* [[ja:シャドウポケモン]] {Found more than one link for encyclopaediae:ja}
* [[ja:ようこそ! ポケモンカフェ 〜まぜまぜパズル〜]] {Found more than one link for encyclopaediae:ja}
* [[ja:ポケジョブ]] {Found more than one link for encyclopaediae:de}
* [[ja:ゲーム内交換]] {Found more than one link for encyclopaediae:fr}
* [[ja:わざ一覧 (第八世代)]] {Found more than one link for encyclopaediae:ja}
* [[ja:カプ・コケコ]] {Found more than one link for encyclopaediae:zh}
* [[ja:シェイミ (SM編)]] {Found more than one link for encyclopaediae:en}
* [[de:Aprikokos]] {Found more than one link for encyclopaediae:de}
* [[de:Geheimmedizin]] {Found more than one link for encyclopaediae:it}
* [[de:Admurai]] {Found more than one link for encyclopaediae:zh}
* [[de:Zwottronin]] {Found more than one link for encyclopaediae:zh}
* [[de:Ottaro]] {Found more than one link for encyclopaediae:zh}
* [[ja:ようこそ! ポケモンカフェ 〜まぜまぜパズル〜]] {Found more than one link for encyclopaediae:ja}
* [[es:Infernape (Nacimiento Estelar TCG)]] {Found more than one link for encyclopaediae:ja}
